Date,Open,High,Low,Close,Adj Close,Volume
2024-02-04,68.833611,68.833611,66.682175,66.931389,66.931389,207440125
2024-02-05,66.932289,68.132332,66.714020,67.619415,67.619415,204854690
2024-02-06,67.619270,68.751411,67.555908,68.290985,68.290985,215034847
2024-02-07,68.292206,68.742569,67.754036,68.556030,68.556030,243889376
2024-02-08,68.561722,70.607178,68.456512,70.562767,70.562767,271057492
2024-02-09,70.569008,71.859253,70.354332,70.677048,70.677048,396248689
2024-02-10,70.675262,71.174690,70.102371,70.809875,70.809875,229511617
2024-02-11,70.801582,72.940567,70.688957,71.540001,71.540001,314543793
2024-02-12,71.544945,73.412682,70.454361,72.932869,72.932869,301824432
2024-02-13,72.930977,73.130775,68.280548,69.001060,69.001060,489477662
2024-02-14,68.999779,70.743210,68.564987,69.896278,69.896278,437462934
2024-02-15,69.896500,70.863441,69.244209,69.811485,69.811485,396502737
2024-02-16,69.814407,70.960419,69.242889,70.617165,70.617165,313910640
2024-02-17,70.616348,70.720383,68.415062,69.989624,69.989624,262442667
2024-02-18,69.990204,71.278076,69.881165,70.730247,70.730247,250736447
2024-02-19,70.738907,71.671402,70.584267,71.312042,71.312042,294953659
2024-02-20,71.312912,71.423721,68.311455,69.655167,69.655167,391121481
2024-02-21,69.653664,69.662804,67.503006,68.937561,68.937561,295704432
2024-02-22,68.939537,69.631729,67.983353,68.764519,68.764519,311236598
2024-02-23,68.763550,69.063919,67.723602,68.828163,68.828163,256867051
2024-02-24,68.826271,70.618874,68.719391,70.387062,70.387062,241694583
2024-02-25,70.386635,70.554375,69.802238,70.082115,70.082115,225632198
2024-02-26,70.087296,72.915688,69.228516,71.937889,71.937889,389106739
2024-02-27,71.945541,76.287796,71.945541,74.033752,74.033752,641863534
2024-02-28,74.025719,77.845032,71.762718,74.592545,74.592545,768473291
2024-02-29,74.580627,84.812614,74.124466,79.940895,79.940895,1042945490
2024-03-01,79.917297,86.059250,79.917297,85.084114,85.084114,656274472
